algorithm,input,width,height,input_pixels,skeleton_pixels,iterations,time_ms,components_before,components_after,connectivity_preserved
ZhangSuen,../shapes/thinning_tests/dumbbell.pgm,256,256,15696,86,37,25.4754,1,1,yes
GuoHall,../shapes/thinning_tests/dumbbell.pgm,256,256,15696,269,95,39.9486,1,1,yes
