algorithm,input,width,height,input_pixels,skeleton_pixels,iterations,time_ms,components_before,components_after,connectivity_preserved
ZhangSuen,../shapes/thinning_tests/line_45_t12.pgm,256,256,5490,154,9,6.89321,1,1,yes
GuoHall,../shapes/thinning_tests/line_45_t12.pgm,256,256,5490,170,17,10.2104,1,1,yes
