algorithm,input,width,height,input_pixels,skeleton_pixels,iterations,time_ms,components_before,components_after,connectivity_preserved
ZhangSuen,../shapes/thinning_tests/letter_h.pgm,256,256,11803,377,16,13.6898,1,1,yes
GuoHall,../shapes/thinning_tests/letter_h.pgm,256,256,11803,531,79,33.0754,1,1,yes
